España											
Actualizado: miércoles, 01 febrero 2017 a las 14:00 hora oficial											
Fecha: martes, 31 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
San Roque	Cádiz	16.4 (16:20)	7.9 (09:10)	12,1	18 (12:50)	12 (08:10)	0	0	0	0	0
Castro Urdiales	Cantabria	22.1 (15:00)	14.7 (23:30)	18,4	57 (01:20)	34 (01:40)	0	0	0	0	0
Ramales de la Victoria	Cantabria	20.3 (14:20)	12.6 (20:30)	16,4	67 (00:20)	30 (03:00)	0	0	0	0	0
Barcena de Cicero, Treto	Cantabria	20.6 (14:00)	6.9 (06:10)	13,8	22 (22:10)	12 (13:10)	0	0	0	0	0
Soba, Alto Miera	Cantabria	14.0 (14:30)	9.8 (06:40)	11,9	54 (10:30)	26 (09:10)	0	0	0	0	0
Santander Aeropuerto	Cantabria	21.4 (15:10)	11.3 (20:20)	16,3	50 (05:30)	31 (05:50)	0	0	0	0	0
Santander	Cantabria	20.8 (14:40)	11.9 (23:00)	16,3	49 (00:30)	30 (00:10)	0	0	0	0	0
Villacarriedo	Cantabria	18.4 (14:00)	12.9 (09:20)	15,6	55 (00:50)	33 (05:20)	0	0	0	0	0
Los Tojos, Bárcena Mayor	Cantabria	16.6 (13:10)	3.6 (07:00)	10,1	31 (08:20)	19 (08:10)	0	0	0	0	0
San Felices de Buelna	Cantabria	19.0 (14:50)	10.0 (23:59)	14,5	42 (05:30)	23 (12:20)	0	0	0	0	0
Torrelavega, Sierrapando	Cantabria	20.3 (12:30)	11.2 (23:40)	15,7	33 (10:40)	22 (05:40)	0	0	0	0	0
San Vicente de la Barquera	Cantabria	16.9 (00:10)	10.5 (09:00)	13,7	24 (20:30)	17 (20:30)	0	0	0	0	0
Camaleño, Fuente De	Cantabria	12.5 (13:50)	6.8 (06:10)	9,7	38 (10:40)	14 (13:00)	0	0	0	0	0
Cillórigo de Liébana, Tama	Cantabria	19.5 (16:00)	7.2 (23:59)	13,3	32 (15:10)	17 (09:30)	0	0	0	0	0
