España											
Actualizado: lunes, 01 febrero 2016 a las 10:00 hora oficial											
Fecha: domingo, 31 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Santa Gadea de Alfoz	Burgos	11.0 (15:30)	4.8 (00:00)	7,9			0	0	0	0	0
Sargentes de la Lora	Burgos	8.2 (17:30)	3.5 (00:40)	5,8	39 (01:00)	27 (01:00)	0	0	0	0	0
Briviesca	Burgos	10.3 (16:00)	6.2 (03:00)	8,3	37 (09:00)	23 (12:00)	0	0	0	0	0
Medina de Pomar	Burgos	12.9 (16:40)	4.6 (00:10)	8,7	30 (04:10)	14 (04:20)	0	0	0	0	0
Miranda de Ebro	Burgos	13.1 (16:40)	5.7 (23:59)	9,4	41 (07:00)	22 (16:50)	0	0	0	0	0
Belorado	Burgos	12.0 (13:40)	6.8 (00:10)	9,4	48 (00:50)	26 (14:50)	0	0	0	0	0
Navalvillar de Ibor	Cáceres	15.1 (16:50)	4.3 (01:20)	9,7	18 (01:50)	10 (02:00)	0	0	0	0	0
Madrigal de la Vera	Cáceres	13.7 (14:00)	5.7 (01:50)	9,7	14 (13:20)	5 (02:40)	0	0	0	0	0
Navalmoral de la Mata	Cáceres	16.0 (16:30)	4.8 (06:10)	10,4	32 (01:50)	20 (01:50)	0	0	0	0	0
Garganta de la Olla	Cáceres	12.8 (15:30)	5.4 (04:50)	9,1	33 (01:10)	15 (01:20)	0	0	0	0	0
Serradilla	Cáceres	16.7 (16:10)	6.0 (00:20)	11,4	48 (09:50)	31 (09:50)	0	0	0	0	0
Jaraicejo	Cáceres	15.2 (16:30)	3.8 (05:30)	9,5	16 (04:40)	11 (08:20)	0	0	0	0	0
Trujillo	Cáceres	17.5 (16:20)	5.3 (05:30)	11,4	17 (16:30)	11 (16:40)	0	0	0	0	0
Cáceres	Cáceres	16.4 (16:30)	6.0 (05:10)	11,2	28 (12:40)	19 (12:40)	0	0	0	0	0
Cañaveral	Cáceres	17.5 (16:10)	5.9 (06:30)	11,7	34 (01:20)	22 (01:30)	0	0	0	0	0
Nuñomoral	Cáceres	17.3 (16:20)	7.8 (00:00)	12,5	34 (08:40)	19 (17:10)	0	0	0	0	0
Guijo de Granadilla	Cáceres	16.6 (15:40)	5.9 (00:00)	11,3	36 (11:50)	25 (11:50)	0	0	0	0	0
Hervás	Cáceres	16.0 (14:40)	4.4 (00:30)	10,2	23 (15:30)	14 (15:30)	0	0	0	0	0
Montehermoso	Cáceres	18.2 (16:00)	4.4 (01:20)	11,3	22 (18:40)	14 (18:30)	0	0	0	0	0
Tornavacas	Cáceres	14.2 (15:00)	4.0 (01:00)	9,1	66 (02:50)	50 (00:40)	0	0	0	0	0
Piornal	Cáceres	15.7 (15:00)	5.6 (01:20)	10,6	50 (06:40)	26 (06:40)	0	0	0	0	0
Plasencia	Cáceres	17.5 (16:20)	7.3 (03:10)	12,4	38 (11:10)	14 (11:10)	0	0	0	0	0
Coria	Cáceres									0	
Torrecilla de los Angeles	Cáceres	19.5 (15:10)	8.2 (01:00)	13,8	53 (06:10)	31 (06:10)	0	0	0	0	0
Hoyos	Cáceres	17.5 (17:00)	5.4 (01:10)	11,5	49 (07:10)	23 (07:10)	0	0	0	0	0
Zarza La Mayor	Cáceres	17.6 (16:00)	4.3 (06:30)	11	21 (17:40)	15 (16:40)	0	0	0	0	0
Valverde del Fresno	Cáceres	19.7 (16:50)	8.2 (00:20)	14	52 (01:30)	32 (01:30)	0	0	0	0	0
Aliseda	Cáceres	16.8 (17:00)	4.3 (03:00)	10,5	20 (00:30)	13 (00:30)	0	0	0	0	0
Brozas	Cáceres	15.5 (16:30)	4.3 (04:00)	9,9	28 (14:00)	20 (14:30)	0	0	0	0	0
Valencia de Alcántara	Cáceres	15.6 (17:10)	5.7 (08:40)	10,7	25 (00:30)	14 (02:20)	0	0	0	0	0
Guadalupe	Cáceres	11.7 (16:20)	2.8 (05:40)	7,2	14 (00:30)	8 (00:30)	0	0	0	0	0
Cañamero	Cáceres	12.5 (16:40)	3.8 (08:30)	8,1	16 (03:50)	10 (02:10)	0	0	0	0	0
Zorita	Cáceres	12.5 (17:50)	3.9 (06:40)	8,2	27 (00:10)	22 (00:40)	0	0	0	0	0
Alcuescar	Cáceres	16.4 (16:50)	3.3 (07:20)	9,8	21 (14:20)	13 (15:10)	0	0	0	0	0
Chipiona	Cádiz	17.5 (16:20)	9.1 (03:30)	13,3	26 (11:50)	12 (11:40)	0	0	0	0	0
Rota, Base Naval	Cádiz	16.9 (17:20)	5.2 (08:10)	11			0	0	0	0	0
Grazalema	Cádiz	12.9 (14:50)	1.8 (04:20)	7,3	18 (07:00)	10 (07:00)	0	0	0	0	0
Olvera	Cádiz	16.9 (17:00)	6.1 (05:50)	11,5	22 (16:30)	11 (16:30)	0	0	0	0	0
El Bosque	Cádiz	19.3 (16:00)	4.5 (08:50)	11,9	24 (17:30)	14 (16:40)	0	0	0	0	0
San José del Valle	Cádiz	18.2 (15:50)	7.1 (08:40)	12,7	31 (18:50)	15 (19:30)	0	0	0	0	0
Jerez de la Frontera Aeropuerto	Cádiz	17.4 (17:10)	4.5 (04:10)	10,9	48 (16:30)	33 (16:30)	0	0	0	0	0
San Fernando	Cádiz	17.3 (15:00)	8.7 (09:00)	13	38 (15:30)	14 (16:30)	0	0	0	0	0
Cádiz	Cádiz	16.3 (17:20)	9.4 (07:20)	12,8	33 (01:20)	28 (23:30)	0	0	0	0	0
Medina Sidonia	Cádiz	19.0 (15:10)	5.3 (04:50)	12,2	28 (17:20)	16 (17:40)	0	0	0	0	0
Vejer de la Frontera	Cádiz	18.6 (16:10)	11.1 (09:40)	14,9	32 (16:50)	15 (16:40)	0	0	0	0	0
Barbate	Cádiz	19.7 (15:40)	6.7 (08:30)	13,2	27 (16:10)	16 (16:00)	0	0	0	0	0
Tarifa	Cádiz										
Jimena de la Frontera	Cádiz	22.2 (13:10)	5.0 (08:40)	13,6	32 (14:20)	19 (14:40)	0	0	0	0	0
San Roque	Cádiz	21.8 (15:10)	8.2 (06:30)	15	31 (16:20)	19 (16:30)	0	0	0	0	0
Castro Urdiales	Cantabria	17.0 (14:20)	12.3 (01:40)	14,7	49 (22:20)	22 (22:20)	0	0	0	0	0
Ramales de la Victoria	Cantabria	18.5 (15:40)	6.5 (00:10)	12,5	28 (16:30)	12 (16:00)	0	0	0	0	0
