España											
Actualizado: sábado, 28 enero 2017 a las 14:00 hora oficial											
Fecha: viernes, 27 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Villanueva del Fresno	Badajoz	11.6 (15:00)	5.1 (23:10)	8,4	52 (15:30)	31 (15:10)	7	3,4	2	1,6	0
Monesterio	Badajoz	8.1 (16:20)	3.6 (22:10)	5,9	48 (13:50)	25 (17:00)	5,4	0,4	2,6	2,4	0
Fuente de Cantos	Badajoz	9.1 (15:30)	3.1 (23:30)	6,1	67 (16:20)	44 (12:20)	7,6	0,6	3,8	3,2	0
Jerez de los Caballeros	Badajoz	11.6 (15:30)	4.5 (23:30)	8,1	71 (15:50)	43 (11:40)	11,2	5,4	4,2	1,2	0,4
Fregenal de la Sierra	Badajoz	9.8 (15:20)	4.4 (23:40)	7,1	44 (16:30)	22 (16:20)	15,6	1,4	9,6	3,2	1,4
Azuaga	Badajoz	9.4 (14:50)	3.8 (23:30)	6,6	57 (17:30)	41 (16:30)	8,8	4,8	3,8	0,2	0
Pontons	Barcelona	7.3 (10:50)	3.5 (00:20)	5,4	39 (11:40)	20 (11:40)	31,4	0,4	6	9,8	15,2
Vilafranca del Penedès	Barcelona	10.8 (17:10)	5.6 (02:10)	8,2	33 (11:20)	17 (12:10)	19	1,2	4,4	1,4	12
Sitges	Barcelona	13.1 (10:50)	7.6 (04:20)	10,4	35 (12:40)	16 (11:40)	13,2	0	1,8	1,4	10
Barcelona Aeropuerto	Barcelona	14.5 (11:50)	7.7 (03:20)	11,1	33 (12:30)	23 (17:20)	13,7	0	0	3,1	10,6
Berga	Barcelona	4.7 (13:00)	1.6 (00:10)	3,1	30 (18:00)	14 (07:00)	23,2	0	0,6	16,6	6
Balsareny	Barcelona	7.7 (11:10)	2.7 (02:10)	5,2	19 (18:50)	13 (18:50)	16,2	0	2,4	8,2	5,6
Prat de Lluçanès	Barcelona	6.9 (12:00)	1.5 (00:30)	4,2	21 (17:00)	11 (11:10)	9,4	0	0	9	0,4
Moià	Barcelona	7.3 (11:00)	3.9 (00:00)	5,6	35 (11:10)	18 (11:40)	9,8	0	0,8	6	3
Manresa	Barcelona	7.8 (16:40)	3.4 (04:30)	5,6	25 (12:50)	11 (22:50)	26	0	4,4	12	9,6
Monistrol de Montserrat	Barcelona	6.9 (12:00)	4.0 (00:00)	5,5			7,4	0	2,4	5	0
Igualada	Barcelona	9.2 (14:50)	4.5 (06:50)	6,8	31 (12:00)	13 (12:00)					
Corbera, Pic d'Agulles	Barcelona	8.5 (11:40)	4.1 (04:10)	6,3			34,8	0,4	6,6	7	20,8
Barcelona	Barcelona				45 (22:10)	36 (23:30)	3,6	0	0	1	2,6
Barcelona, Museo Marítimo	Barcelona	13.8 (12:30)	9.5 (03:50)	11,7	32 (11:20)	12 (22:20)	2,4	0	0	0,6	1,8
Caldes de Montbui	Barcelona	12.2 (13:00)	5.2 (01:20)	8,7	33 (13:10)	17 (13:20)	16	0	0	5,6	10,4
Vilassar de Dalt	Barcelona	13.4 (13:20)	8.7 (03:50)	11	26 (23:10)	14 (22:20)	2,2	0	0	0,2	2
Arenys de Mar	Barcelona	12.9 (12:10)	6.9 (00:10)	9,9	24 (14:40)	13 (14:30)	11,1	0,5	0,1	4,3	6,2
Santa Susana	Barcelona	12.9 (13:20)	4.2 (00:10)	8,5	39 (15:00)	18 (15:00)	10,1	0,5	0,5	4,5	4,6
Fogars de Montclús	Barcelona	5.5 (12:10)	1.9 (04:30)	3,7			28,8	0	0,8	20,8	7,2
Tona	Barcelona	6.4 (12:40)	1.3 (06:10)	3,9	15 (13:50)	6 (13:50)					
Sant Julià  de Vilatorta	Barcelona	5.7 (15:50)	0.1 (06:10)	2,9	14 (16:10)	6 (17:20)	8,4	0	0,2	6,8	1,4
Lekeitio	Bizkaia	14.9 (16:00)	10.0 (23:20)	12,4	71 (06:30)	37 (06:30)	0	0	0	0	0
Forua	Bizkaia	14.2 (15:00)	8.5 (23:59)	11,3	66 (08:10)	40 (04:40)	0,2	0	0	0	0,2
Machichaco	Bizkaia				83 (22:10)	56 (22:10)	4,4	0	0	0	4,4
Punta Galea	Bizkaia	13.1 (15:40)	8.6 (08:10)	10,9	58 (21:50)	25 (22:10)	0,7	0	0	0	0,7
Orozko	Bizkaia	11.8 (15:00)	5.9 (23:59)	8,9	56 (01:50)	23 (00:50)	0,8	0	0	0	0,8
Abadiño	Bizkaia	6.2 (15:20)	3.1 (00:20)	4,6			1	0	0,2	0	0,8
Amorebieta--Etxano	Bizkaia	12.5 (15:30)	8.3 (23:59)	10,4	75 (08:50)	39 (05:40)	0,6	0	0	0	0,6
Balmaseda	Bizkaia	10.7 (15:10)	6.6 (02:30)	8,6			0,2	0	0	0	0,2
Güeñes	Bizkaia	11.3 (15:20)	7.3 (23:40)	9,3	53 (01:10)	27 (01:10)	0,1	0	0	0	0,1
Bilbao Aeropuerto	Bizkaia	14.0 (15:40)	8.7 (23:00)	11,3	74 (05:50)	45 (05:10)	0,3	0	0,2	0	0,1
Sopuerta	Bizkaia	11.7 (14:30)	8.2 (23:10)	9,9	55 (04:30)	33 (04:20)	0,8	0	0	0	0,8
Coruña del Conde	Burgos	4.7 (13:30)	0.6 (09:30)	2,6	42 (06:10)	25 (06:10)	5	0,6	1,2	2,4	0,8
Aranda de Duero	Burgos	5.5 (16:10)	0.9 (00:00)	3,2	28 (10:40)	15 (07:40)	11,6	0	0	11,4	0,2
