España											
Actualizado: miércoles, 21 enero 2015 a las 09:00 hora oficial											
Fecha: martes, 20 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Villamayor de los Montes	Burgos	0.4 (17:50)	-1.6 (00:00)	-0,6	21 (11:50)	15 (12:50)	0,8	0	0,6	0,2	0
Burgos Aeropuerto	Burgos	0.4 (15:20)	-1.3 (00:40)	-0,4			0,8	0	0,2	0,2	0,4
Santa Gadea de Alfoz	Burgos								0,2	2,6	2
Sargentes de la Lora	Burgos	0.6 (16:00)	-3.2 (01:10)	-1,3	32 (23:20)	20 (23:00)	1,2	0	0,4	0,4	0,4
Briviesca	Burgos	2.3 (22:50)	-0.7 (00:20)	0,8	27 (13:30)	17 (13:30)	1	0	0,4	0,2	0,4
Miranda de Ebro	Burgos	4.9 (14:50)	-0.4 (00:30)	2,3	24 (14:40)	13 (14:40)	0,2	0	0	0	0,2
Belorado	Burgos	2.3 (14:10)	-1.3 (00:10)	0,5	27 (13:40)	15 (13:20)	0	0	0	0	0
Navalvillar de Ibor	Cáceres	1.8 (06:00)	-1.1 (23:30)	0,3	22 (07:10)	9 (06:00)	1,4	0	0,8	0,6	0
Madrigal de la Vera	Cáceres	8.0 (13:40)	0.8 (05:20)	4,4	18 (13:50)	8 (13:50)	0	0	0	0	0
Navalmoral de la Mata	Cáceres	6.9 (13:30)	-0.5 (23:59)	3,2	30 (14:20)	19 (14:30)	0	0	0	0	0
Garganta de la Olla	Cáceres	4.8 (15:10)	0.7 (08:40)	2,8	33 (23:59)	19 (23:40)	0	0	0	0	0
Serradilla	Cáceres	5.8 (22:50)	0.8 (08:00)	3,3	41 (23:50)	22 (23:59)	0	0	0	0	0
Jaraicejo	Cáceres	3.4 (17:30)	0.6 (07:00)	2	15 (12:30)	9 (12:30)	0	0	0	0	0
Trujillo	Cáceres	4.3 (17:00)	1.0 (23:59)	2,7	13 (10:30)	7 (17:50)	0,8	0	0,7	0,1	0
Cáceres	Cáceres	5.2 (17:00)	2.3 (22:20)	3,7	39 (06:10)	25 (06:10)	1,6	0	1,4	0,2	0
