España											
Actualizado: domingo, 01 febrero 2015 a las 09:00 hora oficial											
Fecha: miércoles, 28 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Jerez de la Frontera Aeropuerto	Cádiz	17.3 (16:10)	1.6 (07:00)	9,4	22 (17:30)	14 (18:50)	0	0	0	0	0
San Fernando	Cádiz	14.9 (15:50)	7.5 (08:20)	11,2	18 (17:30)	12 (17:00)	0	0	0	0	0
Cádiz	Cádiz	15.3 (15:40)	7.4 (08:40)	11,4	18 (23:40)	11 (17:30)	0	0	0	0	0
Medina Sidonia	Cádiz	17.1 (14:50)	2.0 (08:10)	9,6	26 (15:30)	16 (15:30)	0	0	0	0	0
Vejer de la Frontera	Cádiz	15.3 (16:00)	10.3 (04:10)	12,8	26 (13:40)	18 (13:50)	0	0	0	0	0
Barbate	Cádiz	16.7 (16:00)	4.3 (08:40)	10,5	25 (14:50)	22 (15:00)	0	0	0	0	0
Tarifa	Cádiz	16.6 (14:20)	12.3 (02:40)	14,5	39 (15:10)	27 (15:50)	0	0	0	0	0
Jimena de la Frontera	Cádiz	18.5 (15:40)	4.8 (06:00)	11,7	35 (12:20)	23 (16:10)	0	0	0	0	0
San Roque	Cádiz	18.6 (15:10)	10.9 (05:20)	14,8	47 (15:50)	31 (13:30)	0	0	0	0	0
Ramales de la Victoria	Cantabria	12.2 (21:10)	6.9 (04:00)	9,5	32 (13:50)	11 (14:00)	0,6	0	0,2	0	0,4
Barcena de Cicero, Treto	Cantabria	12.9 (16:20)	8.0 (03:20)	10,4	41 (22:20)	19 (23:59)	1,4	0,2	0	0,2	1
Soba, Alto Miera	Cantabria	7.9 (23:30)	2.9 (00:00)	5,4	36 (23:59)	19 (22:30)	7	1,2	0,4	2,6	2,8
Santander Aeropuerto	Cantabria	13.0 (22:20)	8.5 (05:30)	10,8	50 (23:20)	30 (23:20)					
Santander	Cantabria	12.5 (18:40)	8.4 (05:20)	10,4	60 (23:30)	40 (23:20)	0,8	0,4	0,2	0	0,2
Villacarriedo	Cantabria	9.5 (13:10)	6.5 (06:20)	8	21 (14:50)	13 (14:50)	3,2	0,6	0	1	1,6
Los Tojos, Bárcena Mayor	Cantabria	9.1 (17:20)	2.2 (09:40)	5,7	12 (12:40)	6 (12:40)	0	0	0	0	0
San Felices de Buelna	Cantabria				15 (07:30)	6 (12:00)	0	0	0	0	0
Torrelavega, Sierrapando	Cantabria										
San Vicente de la Barquera	Cantabria	14.0 (19:00)	8.0 (04:50)	11	40 (19:30)	29 (23:59)	0,3	0,1	0	0,2	0
Camaleño, Fuente De	Cantabria										
Cillórigo de Liébana, Tama	Cantabria	11.9 (15:50)	1.7 (09:20)	6,8	17 (22:20)	10 (22:20)	0	0	0	0	0
Tresviso	Cantabria										
Santillana del Mar, Altamira	Cantabria	12.2 (20:20)	7.5 (04:50)	9,8	28 (20:30)	13 (21:40)	0	0	0	0	0
Reinosa	Cantabria	5.2 (15:50)	0.3 (23:30)	2,7	30 (00:20)	21 (00:20)	0,1	0	0	0	0,1
Valderredible, Cubillo de Ebro	Cantabria	8.3 (16:20)	0.1 (06:10)	4,2	19 (00:50)	12 (14:10)	0	0	0	0	0
