España											
Actualizado: sábado, 01 febrero 2014 a las 09:00 hora oficial											
Fecha: viernes, 31 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Garganta de la Olla	Cáceres	12.2 (16:10)	5.0 (01:40)	8,6	49 (11:10)	35 (11:10)	3,8	3,6	0	0	0,2
Serradilla	Cáceres	13.6 (14:00)	6.5 (03:00)	10,1	30 (20:40)	17 (20:40)	0,2	0,2	0	0	0
Jaraicejo	Cáceres	12.3 (15:40)	5.6 (01:50)	9	28 (20:40)	18 (23:59)	0,8	0,8	0	0	0
Trujillo	Cáceres								0,2	0,1	0,1
Cáceres	Cáceres	14.1 (16:10)	7.6 (02:30)	10,9	41 (04:20)	29 (03:50)	0	0	0	0	0
Cañaveral	Cáceres	14.6 (14:30)	7.2 (01:50)	10,9	37 (06:30)	23 (06:20)	0	0	0	0	0
Nuñomoral	Cáceres	12.4 (16:30)	6.2 (03:00)	9,3	33 (07:00)	17 (06:30)	1,4	1,4	0	0	0
Guijo de Granadilla	Cáceres	13.2 (15:30)	6.2 (05:40)	9,7	23 (23:20)	14 (23:10)	1,4	1,4	0	0	0
Hervás	Cáceres	11.0 (14:40)	4.4 (03:00)	7,7	24 (21:50)	11 (10:00)	5	4,8	0,2	0	0
Montehermoso	Cáceres	12.8 (14:10)	7.0 (03:10)	9,9	25 (06:50)	16 (06:50)	0	0	0	0	0
Tornavacas	Cáceres	10.1 (12:20)	3.2 (03:00)	6,7	47 (06:30)	21 (04:40)	4,2	3,4	0,2	0	0,6
Plasencia	Cáceres	12.5 (14:40)	5.6 (02:50)	9	23 (23:59)	12 (01:10)	1,5	1,1	0,1	0,3	0
Coria	Cáceres	15.1 (13:30)	7.3 (01:00)	11,2	32 (03:00)	20 (03:00)	0	0	0	0	0
Torrecilla de los Angeles	Cáceres	14.0 (14:20)	6.5 (02:30)	10,3	33 (07:20)	15 (07:20)	0,4	0,2	0,2	0	0
Hoyos	Cáceres	14.1 (13:50)	6.6 (03:00)	10,4	30 (02:00)	17 (02:00)	0	0	0	0	0
Zarza La Mayor	Cáceres	14.6 (15:50)	7.8 (00:00)	11,2	34 (03:20)	25 (04:30)	0	0	0	0	0
Valverde del Fresno	Cáceres	13.6 (17:10)	6.5 (05:40)	10,1	25 (18:50)	15 (19:00)	0,2	0,2	0	0	0
Aliseda	Cáceres	14.9 (13:00)	8.5 (00:20)	11,7	32 (18:30)	19 (18:40)	0	0	0	0	0
Brozas	Cáceres	13.7 (15:40)	6.4 (00:40)	10	36 (07:50)	30 (07:50)	0	0	0	0	0
Valencia de Alcántara	Cáceres	13.8 (16:20)	7.7 (00:00)	10,8	41 (10:00)	24 (00:10)	0,3	0	0	0	0,3
Guadalupe	Cáceres	11.8 (17:00)	6.2 (00:00)	9	33 (08:10)	12 (05:40)	0,6	0,4	0	0	0,2
Cañamero	Cáceres	11.3 (17:10)	5.5 (03:40)	8,4	30 (06:20)	19 (02:30)	0,6	0,2	0,4	0	0
Zorita	Cáceres	13.2 (17:20)	6.8 (03:50)	10	29 (00:30)	22 (00:30)	1,2	1,2	0	0	0
Alcuescar	Cáceres	13.2 (16:40)	6.5 (03:20)	9,8	29 (23:30)	18 (21:50)	0,4	0,2	0,2	0	0
Chipiona	Cádiz	15.3 (16:30)	11.9 (02:50)	13,6	39 (03:50)	27 (03:50)	1	0,4	0,4	0,2	0
